,fips,County Name,cases,deaths
1,36001,Albany County ,22231,242
2,36003,Allegany County ,3488,85
3,36005,Bronx County ,127551,1716
4,36007,Broome County ,17618,294
5,36009,Cattaraugus County ,5566,86
6,36011,Cayuga County ,6207,90
7,36013,Chautauqua County ,8734,141
8,36015,Chemung County ,7620,134
9,36017,Chenango County ,3307,71
10,36019,Clinton County ,4721,29
11,36021,Columbia County ,3563,57
12,36023,Cortland County ,3843,62
13,36025,Delaware County ,2293,35
14,36027,Dutchess County ,25022,293
15,36029,Erie County ,81176,1218
16,36031,Essex County ,1540,26
17,36033,Franklin County ,2514,11
18,36035,Fulton County ,4154,65
19,36037,Genesee County ,5171,118
20,36039,Greene County ,3117,66
21,36041,Hamilton County ,309,1
22,36043,Herkimer County ,4967,104
23,36045,Jefferson County ,6045,68
24,36047,Kings County ,214113,3223
25,36049,Lewis County ,2789,31
26,36051,Livingston County ,4370,56
27,36053,Madison County ,4172,80
28,36055,Monroe County ,64453,865
29,36057,Montgomery County ,4103,123
30,36059,Nassau County ,140777,985
31,36061,New York County ,108284,1359
32,36063,Niagara County ,18619,286
33,36065,Oneida County ,20594,402
34,36067,Onondaga County ,35571,506
35,36069,Ontario County ,7062,66
36,36071,Orange County ,37335,316
37,36073,Orleans County ,2830,28
38,36075,Oswego County ,7398,90
39,36077,Otsego County ,3356,43
40,36079,Putnam County ,9209,30
41,36081,Queens County ,204888,2783
42,36083,Rensselaer County ,10525,109
43,36085,Richmond County ,60101,768
44,36087,Rockland County ,33158,249
45,36089,St. Lawrence County ,6407,93
46,36091,Saratoga County ,14697,153
47,36093,Schenectady County ,12194,166
48,36095,Schoharie County ,1633,16
49,36097,Schuyler County ,1061,14
50,36099,Seneca County ,1927,56
51,36101,Steuben County ,6679,117
52,36103,Suffolk County ,158207,1406
53,36105,Sullivan County ,5212,39
54,36107,Tioga County ,3655,42
55,36109,Tompkins County ,4130,52
56,36111,Ulster County ,11906,176
57,36113,Warren County ,3374,27
58,36115,Washington County ,2913,41
59,36117,Wayne County ,5551,69
60,36119,Westchester County ,93933,848
61,36121,Wyoming County ,3476,49
62,36123,Yates County ,1127,20
