,fips,County Name,cases,deaths
1,36001,Albany County ,9624,40
2,36003,Allegany County ,830,7
3,36005,Bronx County ,32175,138
4,36007,Broome County ,6675,26
5,36009,Cattaraugus County ,1714,11
6,36011,Cayuga County ,2209,17
7,36013,Chautauqua County ,2546,19
8,36015,Chemung County ,2480,13
9,36017,Chenango County ,1130,7
10,36019,Clinton County ,2868,11
11,36021,Columbia County ,1686,7
12,36023,Cortland County ,1387,10
13,36025,Delaware County ,1210,11
14,36027,Dutchess County ,8002,20
15,36029,Erie County ,31837,115
16,36031,Essex County ,1068,8
17,36033,Franklin County ,1436,3
18,36035,Fulton County ,1837,8
19,36037,Genesee County ,1364,9
20,36039,Greene County ,1086,13
21,36041,Hamilton County ,120,0
22,36043,Herkimer County ,1826,9
23,36045,Jefferson County ,2913,11
24,36047,Kings County ,85582,318
25,36049,Lewis County ,506,3
26,36051,Livingston County ,1323,10
27,36053,Madison County ,2068,4
28,36055,Monroe County ,20978,104
29,36057,Montgomery County ,1407,12
30,36059,Nassau County ,57370,107
31,36061,New York County ,80092,154
32,36063,Niagara County ,6060,36
33,36065,Oneida County ,8368,45
34,36067,Onondaga County ,18416,63
35,36069,Ontario County ,3085,19
36,36071,Orange County ,11716,33
37,36073,Orleans County ,904,7
38,36075,Oswego County ,4691,22
39,36077,Otsego County ,1722,5
40,36079,Putnam County ,3199,4
41,36081,Queens County ,78314,260
42,36083,Rensselaer County ,5217,31
43,36085,Richmond County ,17689,97
44,36087,Rockland County ,9864,18
45,36089,St. Lawrence County ,2729,22
46,36091,Saratoga County ,7953,31
47,36093,Schenectady County ,5369,21
48,36095,Schoharie County ,701,2
49,36097,Schuyler County ,504,4
50,36099,Seneca County ,851,4
51,36101,Steuben County ,2661,20
52,36103,Suffolk County ,49924,144
53,36105,Sullivan County ,2212,8
54,36107,Tioga County ,1696,4
55,36109,Tompkins County ,5251,6
56,36111,Ulster County ,5113,15
57,36113,Warren County ,2531,9
58,36115,Washington County ,1757,8
59,36117,Wayne County ,2228,18
60,36119,Westchester County ,36042,63
61,36121,Wyoming County ,787,3
62,36123,Yates County ,557,1
