,fips,cases,deaths,popdense,population,ageab55,ageab65,ageab75,diabetes,cases rate 10k,deaths rate 10k,deaths cases 10k,pctpov,pctmale,pctwhite,pctblack,pctindian,pctasian,pcthispanic,AR,AS,AT,AU,pct_highschool_or_less,% Adults with Diabetes,% Adults with Obesity
335,12037,900,4,8.3121538,11736,38.84628494,0.239775051,0.092194956,0.12,766.8711656,3.408316292,44.44444444,20.7,55.76857532,79.371166,12.159169,0.49420586,0.38343559,5.5981595,19.33574486,34.57196045,27.32653809,18.76575661,53.90770531,12,36
336,12039,3987,59,34.321114,45894,32.33538153,0.178607225,0.070488517,0.2,868.7410119,12.85571099,147.980938,24.6,47.47897329,32.561991,55.122674,0.23314594,0.64714341,10.508999,20.1704464,36.2010498,27.40816689,16.22033501,56.3714962,20,43
337,12041,1014,23,20.156662,18256,34.90359334,0.204918931,0.092243646,0.15000001,555.43383,12.59859772,226.8244576,17.9,51.64877301,85.790974,5.4173969,0.43273442,0.53680982,6.1021034,14.61406803,42.12242126,29.88018608,13.38332367,56.7364893,15,38
338,12043,769,11,6.5692425,13724,40.41824541,0.272806762,0.130865637,0.20999999,560.3322646,8.015155931,143.0429129,17,56.24453512,60.077238,13.028271,3.9930049,0.59020692,21.145439,25.49941254,38.20994949,25.1370945,11.15354443,63.70936203,21,36
339,12045,1333,27,11.277046,16164,36.15441722,0.215726305,0.084632517,0.13,824.6721109,16.70378619,202.5506377,13.9,58.53130413,75.692898,16.827518,0.5444197,0.43306113,4.6213809,14.54743195,35.82901001,30.38313484,19.2404213,50.37644196,13,33
340,12047,1277,15,10.753823,14310,31.35569532,0.179944095,0.070580014,0.15000001,892.382949,10.48218029,117.4628034,29.5,57.88259958,55.024457,32.124388,0.66387141,0.69881203,9.7973444,26.96380424,45.35040283,19.76318741,7.92260313,72.31420708,15,41
341,12049,2110,20,16.498825,27245,27.16828776,0.166342448,0.074362268,0.16,774.4540283,7.340796476,94.78672986,26.7,52.76564507,46.749863,6.6617727,0.36336943,1.0056891,43.97504,22.84487724,49.08986664,17.84201431,10.2232399,71.93474388,16,39
342,12051,3291,49,13.876889,41556,24.74010973,0.137453075,0.060424487,0.11,791.9434017,11.79131774,148.8909146,26.8,53.33285206,32.055539,10.821542,1.2922321,0.80614109,54.302627,33.68392181,33.73066711,24.28810692,8.297300339,67.41458893,11,35
343,12053,7336,278,155.87367,190865,42.05066408,0.274602468,0.127262725,0.16,384.3554345,14.56526865,378.953108,14.3,48.1885102,77.235216,5.1560003,0.31016688,1.3658869,14.182276,12.11990833,35.22159958,34.21615219,18.44234085,47.34150791,16,32
344,12055,4975,204,40.012619,105424,48.66159508,0.35306951,0.186674761,0.16,471.9039308,19.35043254,410.0502513,19.2,48.86458491,66.378623,9.5983833,0.4183108,1.4465397,20.810252,14.26583004,38.78372192,29.75274658,17.19770241,53.04955196,16,31
345,12057,77118,1071,542.92365,1436888,26.31005339,0.142888659,0.057674641,0.1,536.7015383,7.453608075,138.8780829,15.3,48.9210015,48.24461,15.907085,0.22618326,4.2930972,29.237768,11.33461952,27.11968231,28.024786,33.52091217,38.45430183,10,24
346,12059,1683,25,15.704309,19477,33.63454331,0.19874724,0.088822714,0.14,864.0961134,12.83565231,148.5442662,25.6,53.0677209,86.455822,6.6591367,0.89849569,0.6058428,2.9676028,21.31392097,40.67471695,27.29403496,10.71732998,61.98863792,14,33
347,12061,6875,159,120.882,157413,48.63194272,0.330461906,0.157598165,0.12,436.7491884,10.10081759,231.2727273,12.2,47.91281533,75.191373,9.0303853,0.22679195,1.5138521,12.681925,10.64014721,30.43779182,29.79899406,29.12306786,41.07793903,12,26
348,12063,4649,118,20.312723,48305,32.82682952,0.195093676,0.08624366,0.16,962.4262499,24.42811303,253.8180254,20.6,55.09781596,65.08643,26.45689,0.71835215,0.68936963,5.0119035,19.51330757,38.43962097,29.46372604,12.58334732,57.95292854,16,37
349,12065,994,16,9.223938,14288,39.29171333,0.235302352,0.092805151,0.13,695.6886898,11.19820829,160.9657948,14.1,52.42861142,60.12038,33.7486,0.27995522,0.59490483,3.8563829,18.03278732,34.69034576,24.99089241,22.2859745,52.72313309,13,34
350,12067,1422,22,6.2046609,8732,27.2446175,0.160444343,0.069399908,0.15000001,1628.4929,25.19468621,154.7116737,20.1,57.10032066,70.751262,13.06688,0.30920752,0.27485113,14.24645,24.7389698,38.86830521,24.6379261,11.75479984,63.60727501,15,33
351,12069,15559,295,144.78152,356495,40.37840643,0.266789156,0.122961051,0.13,436.4437089,8.27501087,189.6008741,12.5,48.39198306,69.397044,10.338154,0.32735383,2.1509418,16.04735,10.50412083,32.06615829,33.43012619,23.99959373,42.57027912,13,30
352,12071,40634,672,372.57086,754610,42.67078358,0.286100105,0.1306887,0.11,538.4768291,8.905262321,165.3787469,14,48.94872848,66.818488,8.083646,0.21494548,1.6734472,21.896477,11.59024334,30.96228409,29.204319,28.24315262,42.55252743,11,26
353,12073,19573,175,169.36157,292502,24.21521904,0.133862333,0.050396237,0.079999998,669.1578177,5.982865074,89.40887958,20.4,47.39865027,56.344575,31.030557,0.24854532,3.696043,6.5801263,6.478809357,19.00849533,28.28658104,46.22611237,25.48730469,8,31
354,12075,1851,19,14.077013,40770,40.69168506,0.247804758,0.101324503,0.15000001,454.0103017,4.660289429,102.6472177,20.7,48.81775816,79.53397,8.9551143,0.49791513,0.68187392,8.5871965,15.11396217,41.12443161,31.57521439,12.18639183,56.23839378,15,32
355,12077,750,14,3.9078617,8457,26.85349415,0.145323401,0.05888613,0.13,886.8393047,16.55433369,186.6666667,13,61.66489299,71.195459,18.907414,0.88683935,0.2956131,7.1774863,18.63468552,45.80677795,21.16739273,14.3911438,64.44146347,13,39
356,12079,1540,33,10.271056,18529,34.58902261,0.204975984,0.084300286,0.17,831.1295807,17.80991959,214.2857143,28.2,52.88466728,54.735821,37.292892,0.50731287,0.45334343,5.612823,18.99227715,39.72048569,27.26737785,14.01986027,58.71276283,17,35
357,12081,22332,433,205.1508,394855,42.16003343,0.273956262,0.125671449,0.1,565.5747046,10.96605083,193.8921727,12.5,48.28278735,70.911855,8.4468983,0.20488533,2.1524357,16.734244,10.30368233,30.05298805,29.8627739,29.78055573,40.35667038,10,27
358,12083,17799,463,87.501434,359977,42.66605922,0.289401823,0.133633538,0.15000001,494.4482564,12.86193285,260.1269734,16.6,47.95917517,70.084757,12.508854,0.32529857,1.7434448,13.637815,12.42852306,36.87843323,30.58164215,20.11140251,49.30695629,15,30
